id,Date
C78,2015
C79,2015
C8,2005
C80,2015
C81,2013
C82,2014
C84,1997
C85,2015
C86,2015
C87,2015
C88,2014
C89,2015
C9,2004
C90,2015
C91,2015
C92,2015
C93,2016
C94,2016
C96,2015
C97,2017
C98,2016
C99,2016
E1,2008
E102,1997
E103,1997
E104,1997
E105,1988
E106,1988
E108,2001
E110,2001
E111,2002
E113,2004
E115,2004
E116,2004
E118,1991
E119,1991
E12,2015
E121,2002
E122,1991
E126,2002
E129,1999
E13,2015
E132,1998
E15,2015
E16,2015
E162,2012
E164,2012
E165,2012
E168,2012
E169,2012
E17,2015
E173,2012
E18,2015
E180,2015
E184,2015
E185,2015
E187,2015
E19,2015
E196,2017
E198,2017
E199,2017
E2,2008
E20,2015
E200,2017
E201,2016
E202,2016
E204,2016
E205,2016
E206,2016
E208,2013
E21,2015
E214,2013
E215,2013
E218,2013
E22,2015
E226,2015
E23,2015
E236,2015
E24,2015
E240,2015
E242,2015
E243,2015
E244,2015
E245,2015
E247,2015
E25,2015
E250,2018
E252,2015
E253,2015
E255,2015
E256,2015
E258,2015
E259,2015
E26,2015
E262,2015
E264,2015
E268,2015
E27,2015
E271,2015
E273,2015
E274,2015
E28,2015
E280,2015
E281,2007
E282,2007
E287,2018
E288,2018
E29,2015
E291,2018
E293,2018
E295,2018
E296,2018
E297,2018
E298,2018
E3,2008
E301,2018
E302,2018
E303,2018
E304,2018
E305,2018
E307,2018
E308,2018
E309,2018
E312,2018
E315,2018
E316,2018
E317,2018
E318,2018
E32,2015
E321,2018
E322,2018
E323,2018
E324,2018
E325,2018
E327,2018
E33,2015
E330,2018
E333,2018
E334,2018
E336,2018
E337,2018
E339,2018
E34,2015
E341,2018
E342,2018
E343,2018
E346,2018
E347,2018
E348,2018
E349,2018
E35,2015
E353,2018
E354,2018
E355,2018
E356,2018
E357,2018
E359,2018
E36,2015
E362,2018
E364,2018
E365,2018
E368,2018
E370,2018
E373,2018
E374,2018
E375,2018
E376,2018
E379,2018
E380,2018
E381,2018
E382,2018
E383,2018
E385,2018
E386,2018
E388,2018
E39,2014
E4,2008
E40,2014
E42,2016
E43,2016
E45,2015
E46,2015
E462,2019
E482,2019
E5,2011
E506,2018
E507,2018
E508,2018
E509,2018
E510,2018
E511,2018
E533,2018
E534,2018
E535,2018
E536,2018
E537,2018
E538,2018
E539,2017
E540,2018
E542,2018
E544,2018
E545,2018
E546,2018
E547,2018
E548,2018
E549,2018
E550,2017
E551,2018
E552,2018
E553,2018
E554,2018
E555,2018
E556,2018
E557,2018
E558,2018
E559,2018
E560,2018
E561,2017
E562,2017
E563,2017
E564,2017
E565,2017
E566,2017
E567,2017
E568,2017
E569,2017
E570,2017
E571,2017
E572,2017
E573,2017
E574,2017
E575,2017
E576,2017
E577,2017
E578,2017
E579,2017
E58,1984
E580,2017
E581,2017
E582,2017
E583,2017
E584,2017
E585,2017
E586,2017
E587,2017
E588,2017
E589,2017
E59,1967
E590,2017
E591,2017
E593,2017
E594,2017
E595,2017
E596,2017
E597,2017
E598,2017
E599,2017
E6,2011
E60,1968
E600,2017
E601,2017
E602,2017
E603,2017
E604,2017
E606,2017
E607,2017
E608,2017
E609,2017
E61,1967
E610,2017
E611,2017
E612,2017
E613,2017
E614,2017
E615,2017
E616,2017
E617,2017
E618,2017
E62,1964
E620,2017
E621,2017
E622,2017
E623,2017
E624,2017
E625,2017
E626,2017
E627,2017
E64,1964
E65,1964
E66,1964
E67,1964
E68,1964
E7,2011
E72,1964
E77,1964
E8,2011
E82,2005
E84,2005
E88,1988
E89,1983
E9,2015
E90,1985
E92,1985
E93,1988
E94,1991
E96,2002
E97,2002
E98,1997
U1,2010
U3,2011
