ID,DAPC,SNPs,INDELs,msh6.SNPs
C169,Cluster1,25149,6085,0
C489,Cluster5,50476,6087,65
E53,Cluster4,62539,6092,65
C593,Cluster5,43541,6096,65
E79,Cluster5,63294,6111,65
C166,Cluster4,56375,6113,62
C121,Cluster1,25072,6117,0
C178,Cluster4,57313,6119,65
E106,Cluster4,60265,6125,65
E291,Cluster4,44440,6126,66
C552,Cluster5,50365,6131,65
C456,Cluster5,53037,6135,65
C554,Cluster5,51027,6135,66
C343,Cluster5,42864,6135,64
C523,Cluster5,49527,6142,66
E589,Cluster4,61180,6144,67
C293,Cluster4,7186,6148,67
C491,Cluster5,49767,6153,66
C565,Cluster4,53847,6153,61
C506,Cluster5,49709,6155,66
C426,Cluster5,53533,6158,66
C453,Cluster4,47230,6159,66
E560,Cluster4,61282,6161,63
C163,Cluster5,58772,6161,66
C493,Cluster5,52801,6161,66
C519,Cluster4,52310,6163,67
E528,Cluster5,42289,6165,65
C608,Cluster5,54060,6166,66
C451,Cluster5,49877,6174,66
E363,Cluster4,48228,6176,62
C300,Cluster4,46181,6177,61
C75,Cluster5,56916,6178,66
E56,Cluster4,56358,6179,66
C165,Cluster4,59054,6180,65
E101,Cluster4,60757,6183,67
C495,Cluster5,53083,6187,65
E317,Cluster5,51571,6188,65
E371,Cluster5,51903,6189,65
E311,Cluster5,52552,6190,65
C149,Cluster4,56228,6198,66
C95,Cluster4,60425,6201,66
C255,Cluster5,51412,6203,65
C376,Cluster4,47731,6204,65
C405,Cluster5,58817,6207,66
C508,Cluster5,52920,6216,66
E97,Cluster5,60341,6223,67
C448,Cluster4,50146,6224,66
E548,Cluster5,64485,6227,66
C521,Cluster5,54010,6229,65
E598,Cluster5,65998,6236,65
C611,Cluster5,51809,6236,65
C283,Cluster5,48812,6252,66
E624,Cluster5,66207,6253,65
C150,Cluster5,61956,6257,65
C497,Cluster5,52230,6257,66
E297,Cluster5,53652,6260,65
C551,Cluster4,47066,6261,61
C596,Cluster4,46467,6261,63
C49,Cluster4,61854,6265,65
C277,Cluster5,52828,6265,68
E621,Cluster5,66039,6266,66
C590,Cluster5,52277,6267,66
E83,Cluster5,62031,6269,66
C100,Cluster5,62653,6270,66
C499,Cluster4,53499,6273,67
E175,Cluster4,45452,6281,61
C154,Cluster5,62595,6285,65
C432,Cluster5,55116,6285,65
C200,Cluster4,12916,6290,65
C544,Cluster5,48677,6292,63
C598,Cluster5,52873,6292,66
C48,Cluster4,43403,6293,65
E219,Cluster4,27932,6295,66
C157,Cluster4,47144,6297,65
E136,Cluster4,42241,6302,65
E387,Cluster4,49780,6308,66
C183,Cluster5,63316,6311,62
E150,Cluster1,7448,6314,0
C184,Cluster5,65303,6324,66
C454,Cluster5,52411,6327,67
C494,Cluster5,54646,6327,66
C526,Cluster4,49773,6330,66
C297,Cluster5,2210,6334,65
C290,Cluster4,39645,6335,61
C459,Cluster5,55467,6338,67
C592,Cluster4,54504,6338,67
E410,Cluster5,65237,6339,65
C379,Cluster4,51355,6343,65
E172,Cluster4,12359,6343,65
E89,Cluster4,48598,6343,65
E86,Cluster5,60955,6349,66
C591,Cluster5,54572,6350,66
E262,Cluster4,49205,6361,65
E111,Cluster4,56746,6363,65
C182,Cluster5,64623,6364,67
E194,Cluster5,53199,6369,65
C276,Cluster5,52779,6370,68
C503,Cluster5,52772,6374,67
C450,Cluster5,53746,6377,66
C528,Cluster4,7462,6379,66
C599,Cluster5,54979,6380,66
C574,Cluster5,56968,6397,68
C257,Cluster4,46566,6413,65
C515,Cluster4,7123,6413,65
X1,Cluster4,28384,6415,61
C311,Cluster5,55822,6417,66
C435,Cluster5,56142,6417,65
C296,Cluster5,5059,6425,65
C492,Cluster5,53322,6426,67
C287,Cluster4,52718,6427,66
C585,Cluster4,51864,6427,65
C464,Cluster5,51750,6434,66
E222,Cluster5,52803,6434,67
E221,Cluster4,8247,6436,68
E144,Cluster5,62874,6442,66
C571,Cluster5,49994,6447,66
X2,Cluster1,28311,6454,0
E125,Cluster1,17626,6457,0
C516,Cluster1,26210,6460,0
E207,Cluster5,52418,6466,66
E603,Cluster4,60397,6467,66
C439,Cluster5,52813,6474,66
C350,Cluster5,53787,6475,62
C335,Cluster5,55506,6486,66
